WORKER_NAME,NUM_REQUESTS,WORKERS,LOAD_BALANCER,AVG_DELAY_QUEUE,NUMBER_QUEUE,SERVER_UTILIZATION,SIMULATION_TIME,SAMPLES,SIZE,INTER_ARRIVAL,READ_RATIO,SAS_SIZE,DISTRIBUTION,MEAN,STD,CONCURRENCY,SERVICE_TIME,AVG_INTERARRIVAL,NUM_DELAYS,TEST_ID
worker-1,515,2,TWO-CHOICES,1548.855103,0.587147,0.555225,1361036.625000,1000,500,3000,80,549093,NORMAL,10,5,1,1450,2863.5275272373547,515,1
worker-0,344,3,TWO-CHOICES,777.315430,0.212371,0.379312,1259101.750000,1000,500,3000,80,549093,NORMAL,10,5,1,1450,4338.885857142857,344,2
worker-1,345,3,TWO-CHOICES,776.918579,0.211516,0.378455,1267218.875000,1000,500,3000,80,549093,NORMAL,10,5,1,1450,4331.947049418605,345,2
worker-2,345,3,TWO-CHOICES,776.887756,0.211502,0.378444,1267254.125000,1000,500,3000,80,549093,NORMAL,10,5,1,1450,4332.066712209303,345,2
worker-0,258,4,TWO-CHOICES,481.197968,0.105261,0.294948,1179436.750000,1000,500,3000,80,549093,NORMAL,10,5,1,1450,5693.3060856031125,258,3
worker-1,258,4,TWO-CHOICES,478.502899,0.104185,0.293577,1184944.500000,1000,500,3000,80,549093,NORMAL,10,5,1,1450,5719.891700389106,258,3
worker-2,258,4,TWO-CHOICES,478.369293,0.104132,0.293508,1185221.500000,1000,500,3000,80,549093,NORMAL,10,5,1,1450,5721.2263112840465,258,3
worker-3,258,4,TWO-CHOICES,482.132904,0.105637,0.295427,1177521.875000,1000,500,3000,80,549093,NORMAL,10,5,1,1450,5684.061727626459,258,3
worker-0,205,5,TWO-CHOICES,312.743408,0.052103,0.215574,1230495.375000,1000,500,3000,80,549093,NORMAL,10,5,1,1450,7377.150681372549,205,4
worker-1,204,5,TWO-CHOICES,312.990082,0.051958,0.214217,1228888.500000,1000,500,3000,80,549093,NORMAL,10,5,1,1450,7402.09918226601,204,4
worker-2,205,5,TWO-CHOICES,311.309326,0.051668,0.214761,1235151.750000,1000,500,3000,80,549093,NORMAL,10,5,1,1450,7405.070990196079,205,4
worker-3,205,5,TWO-CHOICES,312.564606,0.052048,0.215471,1231078.875000,1000,500,3000,80,549093,NORMAL,10,5,1,1450,7380.654034313725,205,4
worker-4,205,5,TWO-CHOICES,313.361694,0.052291,0.215924,1228498.250000,1000,500,3000,80,549093,NORMAL,10,5,1,1450,7365.1819607843145,205,4
