WORKER_NAME,NUM_REQUESTS,WORKERS,LOAD_BALANCER,AVG_DELAY_QUEUE,NUMBER_QUEUE,SERVER_UTILIZATION,SIMULATION_TIME,SAMPLES,SIZE,INTER_ARRIVAL,READ_RATIO,SAS_SIZE,DISTRIBUTION,MEAN,STD,CONCURRENCY,SERVICE_TIME,AVG_INTERARRIVAL,NUM_DELAYS,TEST_ID
worker-0,1049,1,ROUND-ROBIN,0,0,0,1471956.625000,1000,500,3000,80,549093,NORMAL,10,5,1,1500,1401.7673425572518,1049,0
worker-0,516,2,ROUND-ROBIN,1776.917358,0.683235,0.582471,1343016.125000,1000,500,3000,80,549093,NORMAL,10,5,1,1500,2824.131444660194,516,1
worker-1,515,2,ROUND-ROBIN,1775.666382,0.682422,0.582227,1342672.250000,1000,500,3000,80,549093,NORMAL,10,5,1,1500,2824.519299610895,515,1
worker-0,337,3,ROUND-ROBIN,825.908936,0.219985,0.384145,1265230.375000,1000,500,3000,80,549093,NORMAL,10,5,1,1500,4434.743595238095,337,2
worker-1,337,3,ROUND-ROBIN,826.272095,0.220148,0.384261,1264848.125000,1000,500,3000,80,549093,NORMAL,10,5,1,1500,4433.404729166667,337,2
worker-2,336,3,ROUND-ROBIN,829.654297,0.220906,0.384800,1261911.125000,1000,500,3000,80,549093,NORMAL,10,5,1,1500,4430.00743880597,336,2
worker-0,257,4,ROUND-ROBIN,505.072479,0.107796,0.298728,1204156.375000,1000,500,3000,80,549093,NORMAL,10,5,1,1500,5837.035781250001,257,3
worker-1,257,4,ROUND-ROBIN,504.627441,0.107620,0.298503,1205062.000000,1000,500,3000,80,549093,NORMAL,10,5,1,1500,5841.4258125,257,3
worker-2,256,4,ROUND-ROBIN,506.303528,0.108322,0.298252,1196555.500000,1000,500,3000,80,549093,NORMAL,10,5,1,1500,5844.329290196079,256,3
worker-3,256,4,ROUND-ROBIN,506.331604,0.108334,0.298267,1196498.125000,1000,500,3000,80,549093,NORMAL,10,5,1,1500,5844.046611764706,256,3
worker-0,203,5,ROUND-ROBIN,349.069733,0.058901,0.226045,1203061.750000,1000,500,3000,80,549093,NORMAL,10,5,1,1500,7266.450579207921,203,4
worker-1,203,5,ROUND-ROBIN,349.143524,0.058922,0.226079,1202878.625000,1000,500,3000,80,549093,NORMAL,10,5,1,1500,7265.344227722772,203,4
worker-2,202,5,ROUND-ROBIN,350.957031,0.059074,0.226065,1200075.375000,1000,500,3000,80,549093,NORMAL,10,5,1,1500,7264.020442786071,202,4
worker-3,202,5,ROUND-ROBIN,350.496216,0.058940,0.225847,1201234.375000,1000,500,3000,80,549093,NORMAL,10,5,1,1500,7271.0372388059695,202,4
worker-4,202,5,ROUND-ROBIN,350.893127,0.059055,0.226035,1200237.375000,1000,500,3000,80,549093,NORMAL,10,5,1,1500,7264.999815920398,202,4
worker-0,1027,1,RANDOM,0,0,0,932490.625000,1000,500,3000,80,549093,NORMAL,10,5,1,1500,1397.3905029239766,1027,0
worker-0,479,2,RANDOM,1477.491577,0.522695,0.529312,1353979.750000,1000,500,3000,80,549093,NORMAL,10,5,1,1500,3054.4605564853555,479,1
worker-1,531,2,RANDOM,1885.707764,0.753330,0.602948,1334059.500000,1000,500,3000,80,549093,NORMAL,10,5,1,1500,2739.9580660377355,531,1
worker-0,333,3,RANDOM,846.216187,0.229316,0.390701,1228829.875000,1000,500,3000,80,549093,NORMAL,10,5,1,1500,4355.698162650602,333,2
worker-1,336,3,RANDOM,860.230591,0.234455,0.393885,1232805.250000,1000,500,3000,80,549093,NORMAL,10,5,1,1500,4327.445417910448,336,2
worker-2,359,3,RANDOM,927.309204,0.264611,0.418809,1258087.000000,1000,500,3000,80,549093,NORMAL,10,5,1,1500,4045.32955027933,359,2
worker-0,257,4,RANDOM,506.866882,0.108507,0.299633,1200517.250000,1000,500,3000,80,549093,NORMAL,10,5,1,1500,5819.394191406251,257,3
worker-1,252,4,RANDOM,473.920807,0.098573,0.289688,1211565.000000,1000,500,3000,80,549093,NORMAL,10,5,1,1500,5961.300812749004,252,3
worker-2,236,4,RANDOM,414.192139,0.080287,0.266991,1217497.500000,1000,500,3000,80,549093,NORMAL,10,5,1,1500,6355.952736170213,236,3
worker-3,269,4,RANDOM,515.195679,0.112567,0.301965,1231157.000000,1000,500,3000,80,549093,NORMAL,10,5,1,1500,5600.854041044776,269,3
worker-0,211,5,RANDOM,356.553589,0.062995,0.238323,1194270.250000,1000,500,3000,80,549093,NORMAL,10,5,1,1500,6947.258642857142,211,4
worker-1,218,5,RANDOM,363.313660,0.066451,0.245116,1191889.125000,1000,500,3000,80,549093,NORMAL,10,5,1,1500,6751.327631336405,218,4
worker-2,196,5,RANDOM,352.154602,0.057210,0.219048,1206472.875000,1000,500,3000,80,549093,NORMAL,10,5,1,1500,7397.056974358975,196,4
worker-3,189,5,RANDOM,322.289612,0.049653,0.208234,1226759.500000,1000,500,3000,80,549093,NORMAL,10,5,1,1500,7694.632734042552,189,4
worker-4,206,5,RANDOM,356.671997,0.062204,0.232866,1181183.000000,1000,500,3000,80,549093,NORMAL,10,5,1,1500,7069.395370731707,206,4
